Category,Title,Location,Amount_Raised,Goal,Days_of_Fundraising,Number_of_Donors,FB_Shares,Text
Medical,Justice for Jacob Blake,"Kenosha, WI",2297930.0,3000000.0,93,72.5K,118K,"On August 23rd my son was shot multiple times in the back by a Kenosha Police Department officer, after my son broke up an altercation by an unrelated party. The shooting has now left my son critically injured as he fights for his life. The extent of my son’s injuries is unknown, but we remain prayerful as he continues to undergo multiple rounds of operations to save his life.

This fund is established to cover my son’s medical expenses, mental and grief counseling for our family and to assist our family in the days to come, as we continue to seek justice for Jacob.  A portion of these proceeds will also be used to benefit my son’s six children, some of whom witnessed this horrific act of violence.

Anyone wishing to send cards, letters of encouragement  and/or contributions in the form of a money order or check, may do so by mail at:
 
Julia Y. Jackson
c/o Ben Crump Law, PLLC
122 S. Calhoun Street
Tallahassee, FL 32301
Attn: Adner Marcelin"
Medical,Official Navajo Nation COVID-19 Relief Fund,"Window Rock, AZ",1862040.0,1000000.0,205,21.9K,71.7K,"The Navajo Nation COVID-19 Fund has been established to help the Navajo Nation respond to the COVID-19 pandemic. This is the Navajo Nation’s only official COVID-19 fundraising and donation effort.The Navajo Nation is accepting monetary and non-monetary donations to address immediate medical and community needs.  The Navajo Nation’s Health Command Center is coordinating donations to the Nation through the Nation's Department of Justice and Office of the Controller.  Pearline Kirk is the Navajo Nation Controller.   Non-monetary donations are also accepted.    For more information see www.navajo.fund or call (928)871-6206. 

For official information on COVID-19 on the Navajo Nation, please see: https://www.ndoh.navajo-nsn.gov/COVID-19 

The Official Navajo Nation government website is: https://www.navajo-nsn.gov"
Medical,Help a front line nurse and baby get proper care,"Randolph, NJ",954793.0,1200000.0,215,18.3K,16.4K,"On Sunday, April 12, Sylvia Leroy, a pregnant nurse, positive with COVID19 suffered a cardiac arrest at Mt. Sinai hospital after successfully coming off a ventilator 7 days prior.  Her premature daughter was delivered at 30 weeks and is in the NICU.  The arrest lasted 8 minutes and has left her with anoxic brain injury due to lack of oxygen and presently she’s awake but minimally conscious, not able to respond to sounds, touch or commands. Sylvia will need significant long-term acute cognitive and physical therapy to help give her a fighting chance for her baby Esther and her 3 year old toddler Jay.  Sylvia’s union insurance unfortunately covers only 30 days of acute rehabilitation - at centers like Kessler in NJ, Moss Rehab in PA and TIRR Memorial in Texas - a handful across the country that specialize in recovery for people suffering from severe disorders of consciousness due to lack of oxygen to the brain like Sylvia.Sylvia’s family has been fighting early on to get her the best care possible, from transferring her to Mt. Sinai hospital and getting her into an acute rehabilitation center.  Please help Sylvia get the care she needs to be there for her family. About Sylvia:Sylvia is 35, a nurse at Brookdale Hospital, wife and mother of 2 young children.  Sylvia is truly loved by her friends & family for her warmth, dedication to people who are underserved and love for God.  Sylvia sadly contracted COVID19 while working to help other sick patients and now she and her children need your support. Your generous donation will go to Sylvia’s medical expenses and care for her children.  We thank you and cherish your gift of love."
Medical,"Rest up, Tommy, we'll see you soon","Scottsdale, AZ",673179.0,1000000.0,131,10.3K,21.3K,"First, thank you for being here. Tommy Rivers and his beautiful family have been a shining light guiding so many through dark times; now is the time to reciprocate and prove that love is, indeed, always the answer. As some of you may know, almost a month ago, Tommy Rivs was admitted to the ICU with respiratory issues. After several weeks of testing and a lung biopsy, doctors discovered the presence of cancer. Specifically, Tommy Rivers was diagnosed with Primary Pulmonary NK T-Cell Lymphoma, a very rare and aggressive form of Lymphoma. Tommy was moved to a hospital in Scottsdale, AZ, where he is receiving chemotherapy under the guidance and expertise of some of the leading lymphoma physicians in the world.  As you can imagine, this treatment is expensive, and Tommy and his family could use all of the financial support they can get.Your generosity can help lighten the load, so that he can focus on recovery, as he taught us to do. Your kind donation will go directly to Steph and Tommy to help deal with the financial repercussions of his current condition, so they can focus on healing and supporting one another. Other ways to help: Because love knows no bounds and neither does Tommy’s heart, even from his ICU bed, he urged us to consider donating to provide emergency assistance to families of the Navajo nation, through an organization that is dear to him, Ajooba' Hasin, Families to Families. https://www.gofundme.com/f/clean-water-for-navajo"
Medical,OFFICIAL BRANDON SAENZ MEDICAL FUND,"Tyler, TX",570529.0,750000.0,175,24.3K,5.5K,"My name is Melissa Green and I am the mother of Brandon Saenz.  Brandon is my only son, will always be the baby you see on the right, and sadly his life has forever been changed. On Saturday, May 30, 2020, Brandon was walking to get something to eat in downtown Dallas, and encountered protesters as he walked.  Police officers began walking towards the protestors and with no warning or provocation, they opened fire on the crowd and struck Brandon in his left eye.  Brandon had broken no laws.  Brandon had to undergo surgery where they were unable to salvage his eye and had to remove it.  My son’s entire left side of his face was broken including his nose and jaw. On Wednesday, his 26th birthday, he was released from the hospital and was simply just grateful to be alive.  The officer that committed this heinous crime has been protected by law enforcement and therefore we are unable to hold them accountable at this moment.  Brandon has been permanently maimed and is now disabled.  He has a long way to go with medical and life expenses.  We acknowledge that times are tough and appreciate anything that you can donate for my son.  Thanks you for all of the messages of encouragement as well.  TY SINCERELY BRANDON SAENZ AND FAMILY"
Medical,Helping Laura and Katherine get through my death.,"Eugene, OR",423013.0,200000.0,55,9.7K,1.5K,"I am dying of lymphoma. My wife, Laura, has been nothing but a hero during this time. She is about to lose two incomes (mine and hers) as she manages and does research in a lab we shared together. My life insurance is tiny thanks to academia and our savings are nearly nonexistent. My biggest fear is that she won't have resources to get up on her feet. Please consider supporting her through my absence."
Medical,Help Mattress Mack Save Camp Hope,"Houston, TX",447990.0,1000000.0,106,188,84,"Mattress Mack invites you to help him SAVE CAMP HOPE by donating to this campaign today! The PTSD Foundation of America's Camp Hope is a facility located in Houston, TX that offers temporary housing at no cost to our nation's veterans and their families as veterans find help for combat related Post Traumatic Stress Disorder (PTSD). In addition to temporary housing, Camp Hope offers veterans intensive peer support and mentoring programs that heal and provide hope in their civilian lives.Camp Hope is currently at risk of shutting down and must raise $1,000,000 to keep their doors open to America's veterans. Your generous donation will help to SAVE CAMP HOPE so that they may continue to offer life saving services to those who have so selflessly served the United States of America. Please donate to Mattress Mack's campaign to SAVE CAMP HOPE today, and be a hero to our nation's heroes.  To learn more about Camp Hope, please visit https://bit.ly/3gPAA4j.Executive Director of Camp Hope David Maulsby (pictured) and Mattress Mack thank you for your donation. God bless you!"
Medical,Rise Up for Rhys,"Redondo Beach, CA",396170.0,500000.0,158,3.1K,2.3K,"6 month old Rhys needs a life saving drug that costs $2.1 million. Follow Rhys’s story and current updates at www.RiseUpForRhys.org and on Instagram @RiseUpForRhysIn May of 2019 while on vacation in Scotland, Rory and I found out we were pregnant (though I already knew - mother’s intuition kicks in early!)  Our baby girl was due on Christmas Day, and after a perfectly healthy pregnancy and 20 hours of labor, we welcomed her 3 weeks early on December 4, 2019 at 12:13pm. Even though I had sworn not to give my children confusing-to-pronounce Welsh names as my mother had done to me, we decided to name her Rhys (pronounced Reese). Overnight she made us a family, and even her fur brother Bruce was absolutely in love. (Jury is still out for Tony).Rhys had been a healthy baby, loving her baths, walks outside, and cuddles and kisses from her doggies. As Rhys approached 4 months, that mother’s intuition was nagging me - I noticed that she seemed to be falling behind on milestones other babies her age were hitting. She always struggled with tummy time, and wasn’t able to roll over or hold her head up for very long. At her 4 month check up, our pediatrician said she just had low muscle tone and recommended physical therapy. At her next check up at 6 months, the pediatrician immediately noted Rhys’ lack of progression and expressed concerns that she may have Spinal Muscular Atrophy, a genetic condition we had never heard of before. A quick Google search, confirmed every parent’s greatest fear: ""The number 1 genetic disease that kills most babies up to 2 years old."" Appointments with Geneticists and Pediatric Neuro-muscular Specialists were set, blood and saliva tests ordered, and the waiting began. We hoped it was something else less severe, easier to treat, less devastating. ANYTHING but SMA. After 2 weeks, the longest 2 weeks of our lives, we received the heartbreaking diagnosis - Rhys has SMA Type 1, the most severe form of the disease.SMA is a terminal muscle degenerative disease, affecting eating, speaking, moving and even breathing. It results in muscle wasting where infants often die of respiratory failure ​before reaching the age of two. With SMA Type 1, each day means loss of specialized nerve cells, leading to muscle weakness and muscle cell death. It is so rare that just a few years ago, there was no treatment. Parents had to watch as their child was able to move less and less, becoming unable to eat and breath on their own.There is no cure for SMA, but in the last 2 years, two life changing treatments have become available. One treatment, SPINRAZA, works on the SMN2 gene, which is a less active copy of the SMN1 gene (the gene that is missing/non-functioning in a person with SMA). By boosting production of SMN2, SPINRAZA supports muscle development and provides a level of improvement. SPINRAZA is very expensive at $750K in the first year and $375K every year thereafter for life. In August of 2019, a new gene therapy, ZOLGENSMA was approved by the FDA. It replaces the missing/non-functioning SMN1 gene with a new functional copy. This medicine provides life changing improvement, some patients are even able to walk independently. Such a miracle drug comes at a cost, and ZOLGENSMA is the most expensive drug in the world at $2.1 million USD. Because SMA Type 1 is aggressive and degenerative, this is a race against time. With each day that passes, motor neurons in Rhys’ sweet little body are becoming inactive. All funds raised will go to Rhys’s medical care including gene therapy (out-of-pocket responsibility outside of insurance not known at this time), physical and occupational therapy, mobility and development equipment, etc. She has a lifetime ahead of her and will need continuous treatment for the best chance at a full life. In the case there are additional funds beyond Rhys’s needs, they will go to Cure SMA, an organization dedicated to raising awareness for this devastating disease. Every child should have the best possible chance at life - please join us to surround our happy little girl in love and support. Rise Up for Rhys!!!Find more info and stay tuned to www.RiseUpForRhys.com for updates. Share and invite others to support Rhys #RiseUpForRhys"
Medical,COVID-19 Protest Relief Fund,"New York, NY",370000.0,400000.0,177,7.5K,6.6K,"Image by: Nam Y. Huh/APAs thousands of people take to the streets to protest racial discrimination and the many Black Lives lost at the hands of injustice,  we also have the unfortunate fact that this deadly pandemic is still upon us. The lives at risk of the injustice being fought against are also the most vulnerable to COVID-19. Many will not be in position to pay the inevitable cost associated with their brave efforts. This fund is to assist those that contract this disease while protesting and other protest related injuries as many are being attacked while speaking out. We haven't been able to get ahead of COVID-19 thus far,  but this is certainly another step in the right direction!Funds will assist with:- Testing in relation to COVID-19- Treatment/hospital bills as related to COVID-19- Injuries obtained while protesting-  Bail relief and/or court expenses for protestors. Black Lives Matter! We stand with those protesting in support of the change that we need to see."
Medical,The Nolan Family,"Rancho Santa Margarita, CA",365181.0,500000.0,76,5.5K,47.7K,"Our beloved Nolan Family needs our help right now. Thursday morning, Taran and three of their four children Micki, Daisy and Jimmy were in a horrific car accident. Their youngest baby Micki did not survive. Daisy, Jimmy and Taran are in very critical condition in South Carolina. Their dad, Jimmy and older sister Paisley were here in California and have flown out to be with them. They are the most incredible family with the biggest hearts you could ever imagine. There are no words for this immeasurable loss. We are praying and asking for hope and help. We want to take all or any financial  burden out of the question. Whatever you can give to support this family will help. Every dollar will go to supply to their needs in this season, medically, at home, etc.  Please also continue to pray and ask God to supply every single one of their needs right now. ""For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come, Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God, which is in Christ Jesus our Lord"". Romans 8:35"
