ID,UT,year,month,day,time,raingauges_id,name,ward_id,region,data
1,1512227100,2017,12,2,15:05:00,1,BLUFF RES NO.3,66,Central,0.6
2,1512227400,2017,12,2,15:10:00,1,BLUFF RES NO.3,66,Central,0.8
3,1512227700,2017,12,2,15:15:00,1,BLUFF RES NO.3,66,Central,0.2
4,1512228000,2017,12,2,15:20:00,1,BLUFF RES NO.3,66,Central,0.2
5,1512252000,2017,12,2,22:00:00,1,BLUFF RES NO.3,66,Central,0
6,1512325800,2017,12,3,18:30:00,1,BLUFF RES NO.3,66,Central,0.2
7,1512326100,2017,12,3,18:35:00,1,BLUFF RES NO.3,66,Central,0.2
8,1512326400,2017,12,3,18:40:00,1,BLUFF RES NO.3,66,Central,0.4
9,1512326700,2017,12,3,18:45:00,1,BLUFF RES NO.3,66,Central,0.8
10,1512327000,2017,12,3,18:50:00,1,BLUFF RES NO.3,66,Central,0.4
11,1512338400,2017,12,3,22:00:00,1,BLUFF RES NO.3,66,Central,0
334,1512394500,2017,12,4,13:35:00,1,BLUFF RES NO.3,66,Central,0.8
349,1512397500,2017,12,4,14:25:00,1,BLUFF RES NO.3,66,Central,0.2
350,1512398400,2017,12,4,14:40:00,1,BLUFF RES NO.3,66,Central,0.2
485,1512404700,2017,12,4,16:25:00,1,BLUFF RES NO.3,66,Central,0.4
486,1512406500,2017,12,4,16:55:00,1,BLUFF RES NO.3,66,Central,0.2
487,1512406800,2017,12,4,17:00:00,1,BLUFF RES NO.3,66,Central,0.2
670,1512408300,2017,12,4,17:25:00,1,BLUFF RES NO.3,66,Central,0.4
671,1512408900,2017,12,4,17:35:00,1,BLUFF RES NO.3,66,Central,0.2
672,1512409500,2017,12,4,17:45:00,1,BLUFF RES NO.3,66,Central,0.2
673,1512409800,2017,12,4,17:50:00,1,BLUFF RES NO.3,66,Central,0.4
674,1512411000,2017,12,4,18:10:00,1,BLUFF RES NO.3,66,Central,0.2
990,1512412200,2017,12,4,18:30:00,1,BLUFF RES NO.3,66,Central,0.2
991,1512414600,2017,12,4,19:10:00,1,BLUFF RES NO.3,66,Central,0.8
992,1512414900,2017,12,4,19:15:00,1,BLUFF RES NO.3,66,Central,1
1440,1512415200,2017,12,4,19:20:00,1,BLUFF RES NO.3,66,Central,0.2
1441,1512415500,2017,12,4,19:25:00,1,BLUFF RES NO.3,66,Central,0.2
1442,1512416100,2017,12,4,19:35:00,1,BLUFF RES NO.3,66,Central,0.2
1443,1512417000,2017,12,4,19:50:00,1,BLUFF RES NO.3,66,Central,0.2
2033,1512421200,2017,12,4,21:00:00,1,BLUFF RES NO.3,66,Central,0.2
2034,1512421500,2017,12,4,21:05:00,1,BLUFF RES NO.3,66,Central,0.2
2035,1512421800,2017,12,4,21:10:00,1,BLUFF RES NO.3,66,Central,0.2
2723,1512424800,2017,12,4,22:00:00,1,BLUFF RES NO.3,66,Central,0
2724,1512425100,2017,12,4,22:05:00,1,BLUFF RES NO.3,66,Central,0.2
4638,1512474300,2017,12,5,11:45:00,1,BLUFF RES NO.3,66,Central,0.2
5018,1512480900,2017,12,5,13:35:00,1,BLUFF RES NO.3,66,Central,0.2
5253,1512483300,2017,12,5,14:15:00,1,BLUFF RES NO.3,66,Central,0.2
5573,1512487200,2017,12,5,15:20:00,1,BLUFF RES NO.3,66,Central,0.2
5574,1512487500,2017,12,5,15:25:00,1,BLUFF RES NO.3,66,Central,0.6
6658,1512494100,2017,12,5,17:15:00,1,BLUFF RES NO.3,66,Central,0.2
6659,1512494400,2017,12,5,17:20:00,1,BLUFF RES NO.3,66,Central,0.2
6660,1512495000,2017,12,5,17:30:00,1,BLUFF RES NO.3,66,Central,0.8
6661,1512495300,2017,12,5,17:35:00,1,BLUFF RES NO.3,66,Central,0.2
6662,1512496200,2017,12,5,17:50:00,1,BLUFF RES NO.3,66,Central,0.4
6663,1512496500,2017,12,5,17:55:00,1,BLUFF RES NO.3,66,Central,0.2
6664,1512496800,2017,12,5,18:00:00,1,BLUFF RES NO.3,66,Central,0.4
6665,1512497100,2017,12,5,18:05:00,1,BLUFF RES NO.3,66,Central,0.2
6666,1512497400,2017,12,5,18:10:00,1,BLUFF RES NO.3,66,Central,0.4
7504,1512497700,2017,12,5,18:15:00,1,BLUFF RES NO.3,66,Central,0.2
7505,1512500400,2017,12,5,19:00:00,1,BLUFF RES NO.3,66,Central,0.2
7506,1512501000,2017,12,5,19:10:00,1,BLUFF RES NO.3,66,Central,0.2
8664,1512501900,2017,12,5,19:25:00,1,BLUFF RES NO.3,66,Central,0.2
8665,1512502200,2017,12,5,19:30:00,1,BLUFF RES NO.3,66,Central,0.2
8666,1512503400,2017,12,5,19:50:00,1,BLUFF RES NO.3,66,Central,0.2
10184,1512504900,2017,12,5,20:15:00,1,BLUFF RES NO.3,66,Central,0.2
10185,1512505200,2017,12,5,20:20:00,1,BLUFF RES NO.3,66,Central,0.2
10186,1512505500,2017,12,5,20:25:00,1,BLUFF RES NO.3,66,Central,0.2
10187,1512505800,2017,12,5,20:30:00,1,BLUFF RES NO.3,66,Central,0.2
11943,1512511200,2017,12,5,22:00:00,1,BLUFF RES NO.3,66,Central,0
11944,1512511500,2017,12,5,22:05:00,1,BLUFF RES NO.3,66,Central,0.2
11945,1512511800,2017,12,5,22:10:00,1,BLUFF RES NO.3,66,Central,0.4
11946,1512512100,2017,12,5,22:15:00,1,BLUFF RES NO.3,66,Central,0.6
11947,1512512400,2017,12,5,22:20:00,1,BLUFF RES NO.3,66,Central,0.2
11948,1512512700,2017,12,5,22:25:00,1,BLUFF RES NO.3,66,Central,0.2
13938,1512513000,2017,12,5,22:30:00,1,BLUFF RES NO.3,66,Central,0.2
13939,1512513600,2017,12,5,22:40:00,1,BLUFF RES NO.3,66,Central,0.2
13940,1512513900,2017,12,5,22:45:00,1,BLUFF RES NO.3,66,Central,0.2
